date,total_sleep_hours,deep_sleep_hours,rem_sleep_hours,light_sleep_hours,awake_minutes,hrv_rmssd,hrv_pnn50,spo2_avg,sleep_score,sleep_debt
2025-01-01,7.15,0.94,1.42,3.38,95,50,31,96.3,52,0.851
2025-01-02,5.62,0.82,1.21,2.55,66,40,22,96.7,38,3.099
2025-01-03,7.57,0.99,1.79,3.94,57,34,22,97.0,47,3.061
2025-01-04,6.79,1.29,1.51,3.6,34,35,23,97.1,46,3.81
2025-01-05,8.62,1.49,2.07,4.38,51,32,15,96.9,55,3.238
2025-01-06,6.13,0.84,1.22,3.15,61,30,14,96.8,43,4.621
2025-01-07,7.17,1.24,1.38,3.75,51,29,20,97.9,47,4.757
2025-01-08,7.26,1.37,1.7,3.43,46,28,14,96.6,51,4.782
2025-01-09,7.74,1.18,1.75,3.79,75,32,16,96.7,53,4.324
2025-01-10,6.21,1.06,1.51,3.04,39,33,18,96.3,35,5.469
2025-01-11,6.82,1.19,1.61,3.36,41,24,17,97.6,47,5.824
2025-01-12,8.7,1.14,2.01,4.51,71,27,16,96.3,57,4.951
2025-01-13,6.68,1.32,1.61,3.18,42,23,16,98.6,39,5.524
2025-01-14,7.15,1.23,1.36,3.76,55,30,17,96.0,45,5.548
2025-01-15,5.6,1.09,1.35,2.99,15,18,13,98.8,30,7.117
2025-01-16,6.76,0.91,1.58,3.56,45,19,11,96.8,44,7.284
2025-01-17,6.61,0.96,1.44,3.46,48,18,14,97.9,38,7.584
2025-01-18,7.84,1.09,1.54,3.79,94,19,8,96.2,50,6.602
2025-01-19,7.12,1.38,1.71,3.26,50,25,11,96.4,49,6.49
2025-01-20,6.98,1.14,1.64,3.7,33,18,9,97.3,41,6.539
2025-01-21,7.37,1.31,1.84,3.39,57,22,15,96.7,43,6.185
2025-01-22,6.67,1.06,1.33,3.17,80,22,15,97.7,36,6.586
2025-01-23,8.05,1.52,1.99,4.37,23,23,13,96.6,51,5.598
2025-01-24,5.7,0.89,1.42,2.71,52,20,10,98.9,37,7.062
2025-01-25,7.94,1.43,1.52,3.81,86,26,15,98.2,47,6.063
2025-01-26,8.01,1.32,1.92,3.73,77,24,11,97.8,53,5.154
2025-01-27,6.14,0.85,1.49,2.91,62,25,13,97.8,37,6.243
2025-01-28,7.89,1.14,1.82,3.74,78,30,15,96.9,55,5.419
2025-01-29,5.73,0.93,1.43,3.15,14,18,8,98.8,35,6.875
2025-01-30,7.75,1.21,1.48,4.13,66,26,18,98.0,45,6.096
2025-01-31,7.59,1.15,1.72,4.13,38,22,9,97.7,45,5.589
2025-02-01,8.06,1.45,1.57,4.14,58,30,20,98.5,50,4.75
2025-02-02,7.61,1.14,1.37,4.01,75,29,18,97.7,49,4.429
2025-02-03,5.57,0.75,1.35,3.01,36,28,16,96.4,30,6.19
2025-02-04,6.32,1.22,1.49,3.39,27,18,8,96.3,39,6.941
2025-02-05,7.76,1.23,1.73,3.61,85,29,20,98.4,55,6.14
2025-02-06,5.61,1.02,1.14,3.05,36,22,15,96.8,35,7.607
2025-02-07,5.82,1.11,1.4,2.75,46,18,8,98.4,30,8.645
2025-02-08,6.61,0.95,1.34,3.55,61,18,11,97.2,43,8.739
2025-02-09,7.89,1.54,1.48,4.32,35,24,11,96.3,50,7.538
2025-02-10,7.37,1.12,1.64,3.69,61,21,10,98.1,41,7.036
2025-02-11,7.86,1.32,1.81,4.12,47,23,9,98.0,49,6.117
2025-02-12,6.33,1.2,1.46,3.04,43,20,10,96.9,33,6.864
2025-02-13,6.6,1.29,1.5,3.57,24,18,10,96.0,36,7.234
2025-02-14,6.62,1.13,1.5,3.29,49,18,10,98.7,42,7.524
2025-02-15,6.97,0.95,1.51,3.58,61,22,14,98.0,40,7.421
2025-02-16,7.05,0.93,1.39,3.51,86,18,9,97.9,39,7.26
2025-02-17,7.29,1.2,1.44,3.76,54,24,15,96.3,45,6.88
2025-02-18,5.99,1.18,1.3,2.73,51,21,11,98.4,36,7.858
2025-02-19,8.02,1.38,1.98,4.32,30,25,14,98.5,53,6.68
2025-02-20,7.79,1.42,1.66,3.71,64,27,17,97.6,52,5.885
2025-02-21,6.24,0.84,1.25,2.98,75,22,9,96.7,39,6.765
2025-02-22,8.32,1.12,1.73,4.19,82,23,12,98.7,55,5.751
2025-02-23,8.29,1.57,1.94,4.05,44,28,17,98.6,60,4.888
2025-02-24,6.6,1.2,1.44,3.37,39,24,13,96.1,39,5.557
2025-02-25,7.25,1.15,1.39,3.6,69,29,12,97.2,48,5.476
2025-02-26,5.62,0.98,1.06,2.79,48,19,8,97.0,34,7.037
2025-02-27,6.5,1.19,1.55,3.09,42,18,10,99.0,36,7.483
2025-02-28,7.18,1.33,1.62,3.77,42,18,6,96.5,39,7.186
2025-03-01,8.22,1.39,1.61,4.28,68,21,12,98.2,49,6.108
